
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
"gather_avx2_few_chnk",1,6.2309,6.2226,6.2210,0.0074

> concat(rng(x, 678), rep(30M, srand(uniform(1,7,x), x))); 104.995MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,4.0163,4.0084,4.0075,0.0048
"benny",1,1.3820,1.3807,1.3806,0.0006

> concat(rng(x, 678), rep(30M, srand(uniform(2,6,x), x))); 105.003MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,5.4547,5.4470,5.4454,0.0067
"benny",1,1.3821,1.3806,1.3804,0.0010

> concat(rng(x, 678), rep(30M, srand(uniform(3,5,x), x))); 105.003MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,7.6278,7.6094,7.6056,0.0156
"benny",1,1.3823,1.3807,1.3805,0.0010

> copy(30M, lit(rstu)); 120.000MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,10.0024,9.5833,9.6238,0.1579
"benny",1,1.3821,1.3808,1.3808,0.0008

> concat(rng(x, 981394), srand(100M, x)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3819,1.3806,1.3805,0.0009
"benny_popcnt",1,1.3819,1.3807,1.3806,0.0009
"benny_alt",1,1.2590,1.2543,1.2549,0.0020
"benny_x2",1,2.7638,2.7609,2.7606,0.0028
"gather_avx512_pre",1,11.7534,11.3214,11.3581,0.1186
"gather_avx512_chunks",1,10.7137,10.6978,10.6974,0.0084
"gather_avx512_nopre",1,6.3142,6.2871,6.2901,0.0101
"gather_avx2",1,5.8076,5.7828,5.7852,0.0084
"gather_avx2_chnk",1,5.5837,5.5641,5.5641,0.0039
"gather_avx2_few_regs",1,6.5177,6.4922,6.4904,0.0122
"gather_avx2_few_chnk",1,6.2322,6.2244,6.2219,0.0089
"david_a_perez",1,1.4565,1.4550,1.4549,0.0010
"conflict",1,1.4562,1.4561,1.4560,0.0001
"conflict_mc1b",1,1.4562,1.4561,1.4558,0.0013
"conflict_mc2b",1,2.9039,2.9017,2.9018,0.0010
"conflict_mc3b",1,4.1796,4.1610,4.1624,0.0073
"conflict_mc4b",1,5.3156,5.3124,5.3125,0.0017
"conflict_mc5b",1,6.5058,6.4980,6.4978,0.0028
"conflict_mc6b",1,7.7226,7.7085,7.7061,0.0098
"conflict_mc7b",1,8.4372,8.4196,8.4187,0.0132
"conflict_mc8b",1,9.1023,9.0794,9.0775,0.0143
"conflict_mc9b",1,9.6035,9.5762,9.5741,0.0230
"conflict_mc10b",1,9.9430,9.9069,9.8945,0.0359
"conflict_mc11b",1,9.5619,9.4807,9.4858,0.0268
"conflict_mc12b",1,9.7270,9.6327,9.6328,0.0333
"load_64B",1,65.7237,63.4839,62.6209,2.4996
"loadgather_4Bx16",1,17.3598,16.7388,16.7054,0.2136
"loadgather_8Bx8",1,35.6764,34.2618,34.0406,0.9558
"load_16B",1,52.7673,51.5934,50.7972,2.1711
"load_8B",1,38.5165,37.9172,37.8834,0.3167
"load_1B",1,5.5267,5.4986,5.5011,0.0174
